Code,Attraction_Name,Subtitle,Description,Description_Secret,People_History,People_Secret,Suggestion_See,Suggestion_Secret_Do,Money,Money_Secret,Time,Time_Secret,img_path1,img_path,img_path,address
1,To Ariston,Hand-made traditional giros with local meats,"A family run business in the middle of Papavasiliou street. Having its traditional atmosphere it can serve you with giros, souvlaki and many other specialities",They have been awarded with Top Choice (international) and Hellas life style top business awards (Greek),"Locals, families, tourists",It's atmosphere makes the people go there again and again,You can sit outside and watch the life pass by,Don't forget to try their homemade drinks and beverages like Raki and lemonade,"Pita 2.30€ , Portions 7€",2 Portions = 1/4 homemade wine,12p.m.- 1.30am ,Better at noon,images/to ariston.jpg,images/to ariston.jpg,images/to ariston.jpg,"To Ariston, Σωκράτους Παπαβασιλείου, Naxos
"
2,Ola ellinika,Party the greek way,"It's a club in the beginning of the harbour, on the second floor. It's known for it's music as they only play greek.",It has an amazing view through the harbour,"Locals, greek tourists, tourists",It mainly attracts greeks ,From the window you can see the whole harbour,Party hard on greek music,Drink 7€,,Till morning,It gets full after 1.30 am,images/ola elinika.jpg,images/ola elinika.jpg,images/ola elinika.jpg,day night naxos
3,Strofili,Seafood & wine,It's a place where you can sit in front of the sea and enjoy some good quality seafood.,It's unique atmosphere is what distinguishes it,"Locals, teenagers, tourists","They have a big variety of drinks such as raki, wine (different types) and ouzo",Sit there and enjoy the night under the stars,Try some of their special Meze to accompany your drink,Less than 20€ per person,,7pm-3am,It's busier after 10 pm,images/stofili.jpg,images/stofili.jpg,images/stofili.jpg,"Strofili - Seafood & Wine, Naxos"
4,Ocean Club ,Partying till morning,The Ocean Club has its own history in entertainment since 1987. It's a place where you can enjoy both a relaxing drink but also party hard,Try their special cocktails ,"Locals, tourists from 18-35",Enjoy a soft drink in their sea view,"Their special parties, such as Tsunami",Dance to the Dj's rhythm,"Drink 7€, Cocktails 10€",,Till morning,"For partying after 1am, for soft drink after 11pm",images/ocean.jpg,images/ocean.jpg,images/ocean.jpg,The Ocean Club - Naxos
5,Tsiblakis,All the naxos stuff,You can find there only handmade products made in Naxos from oregano and olives to slingshots and boxes.,This shop has been run since 1938,"Locals, Tourists",All the products are made from Naxian people.,Watch the wood carved products following the Cycladic patterns ,You can taste some of the cheeses and spicies before you buy them.,,,All day ,,images/tsiblakis.jpg,images/tsiblakis.jpg,images/tsiblakis.jpg,"37.103351, 25.376927 "
6,Mountain Zas,The tallest mountain in the Cyclades,It's 1004m long and it's the perfect spot for climbing (the road is not that bad),"On the way, you will find Zas' cave, where Zeus was raised.",Climbing Lovers,Sport's shoes and a torch (for the cave),Go until the top and the best view ever,,,,All day ,Better not in the midday because it's very hot,images/Zas.jpg,images/Zas.jpg,images/Zas.jpg,"37.032189, 25.501642
"
7,Kouros at Apollonas,Lying near to the beach,Kouros is an unfinished marble statue of 10.5m and it's dated by the 6th B.C. century. It is believed that it was left unfinished due to the appearance of some cracks.,It is believed that it represents Dionisos,"Tourists, History lovers",,,"After, go to the village/ beach for swimming",Free entrance,,All day ,,images/kourosap.jpg,images/kourosap.jpg,images/kourosap.jpg,"Apollonas Kouros 37.1773605,25.5487356 naxos"
8,Kouros Flerios,The broken one,"This statue with the broken leg lies there since 6 B.C. (way older than Acropolis).It was supposed to be moved but it's leg broke, so they left it there.",Kouros means male statue,"Tourists, History lovers",,,"If you keep walking, you can find a smaller one",Free entrance,,All day ,,images/kourosf.jpg,images/kourosf.jpg,images/kourosf.jpg,"Flerio Kouros 37.0811833,25.4517322, naxos"
9,Dimitra's Temple,For a good crop season…,"In this temple people from Naxos used to go there and pray to Dimitra, Goddess of fertility. It has been built in the 8th century B.C. but it was expanded in 530 B.C.",It was built there due to it's fertile ground,"Tourists, History lovers",There are a few people who stil believe in these gods and they use this temple for ceremonies.,,Check the museum close to the temple,Free entrance,,All day ,,images/dimitrastemp.jpg,images/dimitrastemp.jpg,images/dimitrastemp.jpg,"Temple of Demeter 37.0291564,25.4290957,"
10,Iria (a.k.a. Dionisos' temple),A really ancient temple,One of the most ancient temple (14 B.C. century) is Iria. Iria has been destroyed over 3 times by a close river.,"In this place, it has been found a variety of trees which are stil preserved","Tourists, History lovers",,"There are some slides that show the four different ways it has been built, one above the other",Check the museum close to the temple,Free entrance,,All day ,,images/iria.jpg,images/iria.jpg,images/iria.jpg,"Iria 37.077435,25.381203, naxos"
11,Bus tours,No vechile? No problem,"Starting from the town, passing by Glinado villages Ag. Arsenios and Paper, whose residents cultivate the fertile Livadi where the famous Naxos potatoes produced, we arrive at Sangri. There we visit the archaeological site of Gyroula namely the sanctuary was dedicated to Apollo, Demeter and Kore, built in the 6th century BC The great value is that it is an all-marble temple, whose ancient material preserved in more than 50%. Continue towards the hinterland of the valley of Tragaia and passing through olive trees, sycamores, oaks, vines, fruit trees, surrounded by towering mountains, visit Halki, the village with its neoclassical buildings and the Byzantine church of Panagia Protothroni. We visit the citron distillery where the namesake liqueur produced. The route goes through the village Filoti which stretched amphitheatrically on the slopes of two hills at the foot of Za, it is the largest and most populous village of Naxos. The Zas is the highest mountain in the Cyclades, which takes its name from the father of the gods Zeus grew up here, and the son of Dionysus, god of wine and entertainment, brought up in the same mountain, and even in a cave named Cave of Za. Next stop Apiranthos or 't' Aperathou as it is called by locals, is built at the Lantern Mountain foothills. Venetian towers, beautiful old two-storey houses, marble streets with arches, picturesque squares create a special atmosphere. It has 3 interesting museums: the Archaeological Museum, with exhibits mainly Cycladic period, Geological, with 2,000 exhibits from the rich nature of Naxos, the Natural History Museum with collection of the fauna of the area and a small aquarium and Folklore, with traditional textiles and tools. Then passing from smiridochoria Koronos Skado and Middle, we reach the northernmost village of the island, Apollo, which takes its name from an incomplete kouros statue at the entrance of an ancient marble quarry. The statue is 10.45 meters, represents Dionysus or Apollo and dates back to the 6th century BC century. There is time for lunch and swimming in the small cove. We return to the country following the northwestern coastal route, where we find the Tower of Agia, the Faneromeni Monastery (17th c.) And the villages Engares and Galini.",You can choose between the routs,Tourists,,Watch through the window and see the Flora of the island,Take advantage of time and explore the villages you go,About 35€ per person,,"Wednesday, Friday, Sunday Duration: 8 hours Tour. Start Time: 9:15 End Time: 17:00",,images/Busstour.jpg,images/Busstour.jpg,images/Busstour.jpg,"Naxos Tours 37.1039301,25.3730802,"
